Date,AAPL,F,INTC,PFE,T
2007-05-07,3.1820502281188965,5.5037407875061035,14.303716659545898,14.29423999786377,17.546775817871094
2007-05-08,3.216956615447998,5.645380973815918,14.427471160888672,14.278584480285645,17.400545120239258
2007-05-09,3.2726852893829346,5.63189172744751,14.635910034179688,14.331351280212402,17.48916244506836
2007-05-10,3.2867698669433594,5.5576982498168945,14.466552734375,14.141389846801758,17.24103355407715
2007-05-11,3.3296380043029785,5.645380973815918,14.5121488571167,14.268025398254395,17.542339324951172
2007-05-14,3.3486227989196777,5.874703407287598,14.407927513122559,14.368289947509766,17.737308502197266
2007-05-15,3.2922823429107666,6.0096001625061035,14.336289405822754,14.299686431884766,17.896827697753906
2007-05-16,3.2867698669433594,5.90842866897583,14.447014808654785,14.415777206420898,18.229145050048828
2007-05-17,3.351072311401367,5.90842866897583,14.479584693908691,14.436883926391602,18.282320022583008
2007-05-18,3.368832588195801,5.861212253570557,14.785720825195312,14.47909164428711,18.2114200592041
2007-05-21,3.4288477897644043,5.921917915344238,14.74012279510498,14.468544006347656,17.96771240234375
2007-05-22,3.4766159057617188,5.854469299316406,14.974607467651367,14.442158699035645,17.918973922729492
2007-05-23,3.456712245941162,5.90842866897583,14.766173362731934,14.426325798034668,17.905689239501953
2007-05-24,3.389347791671753,5.726318359375,14.310232162475586,14.394668579101562,17.910110473632812
2007-05-25,3.47906494140625,5.699338436126709,14.433988571166992,14.526586532592773,18.06077003479004
2007-05-29,3.501418113708496,5.665614604949951,14.525177955627441,14.5424165725708,17.941129684448242
2007-05-30,3.636759042739868,5.7330641746521,14.381876945495605,14.463274955749512,18.158245086669922
2007-05-31,3.71086049079895,5.625147342681885,14.447014808654785,14.505485534667969,18.317768096923828
2007-06-01,3.6254279613494873,5.63189172744751,14.5642671585083,14.605735778808594,17.9588565826416
2007-06-04,3.7151472568511963,5.5779337882995605,14.433988571166992,14.521306991577148,18.122798919677734
2007-06-05,3.7561776638031006,5.604913234710693,14.303716659545898,14.394668579101562,17.941129684448242
2007-06-06,3.7858781814575195,5.5711870193481445,13.997577667236328,14.136116027832031,17.892391204833984
2007-06-07,3.7990448474884033,5.436293125152588,13.880338668823242,13.87227725982666,17.51132583618164
2007-06-08,3.8119056224823,5.5576982498168945,14.219038009643555,13.993640899658203,17.839216232299805
2007-06-11,3.6802399158477783,5.665614604949951,14.284171104431152,13.914497375488281,17.777179718017578
2007-06-12,3.686058521270752,5.611656665802002,14.460046768188477,13.777303695678711,17.316360473632812
2007-06-13,3.5978708267211914,5.773531913757324,14.766173362731934,13.903945922851562,17.71514892578125
2007-06-14,3.63614559173584,5.84097957611084,15.130937576293945,13.92504596710205,17.972143173217773
2007-06-15,3.6897311210632324,6.016343116760254,15.788796424865723,13.96726131439209,17.848079681396484
2007-06-18,3.8302783966064453,5.969130516052246,15.743204116821289,13.856456756591797,17.72844123840332
2007-06-19,3.7864928245544434,5.834234714508057,15.697612762451172,13.830070495605469,17.830358505249023
2007-06-20,3.7218832969665527,5.975873947143555,15.593398094177246,13.56623363494873,17.515758514404297
2007-06-21,3.7938408851623535,6.0096001625061035,15.821375846862793,13.677043914794922,17.542339324951172
2007-06-22,3.7662816047668457,6.157985687255859,15.437067985534668,13.392107009887695,17.214452743530273
2007-06-25,3.7460732460021973,6.090536117553711,15.293769836425781,13.40266227722168,17.316360473632812
2007-06-26,3.663702964782715,6.043323040008545,15.228639602661133,13.50291919708252,17.409406661987305
2007-06-27,3.7322936058044434,6.259156703948975,15.495692253112793,13.513473510742188,17.71514892578125
2007-06-28,3.6915688514709473,6.400796413421631,15.58036994934082,13.524022102355957,18.05190086364746
2007-06-29,3.7368860244750977,6.353583335876465,15.463122367858887,13.49236011505127,18.38865852355957
2007-07-02,3.7130024433135986,6.501968860626221,15.808341979980469,13.57679271697998,18.543745040893555
2007-07-03,3.893968105316162,6.353583335876465,16.016780853271484,13.619006156921387,18.38865852355957
2007-07-05,4.064828395843506,6.171475410461426,16.02329444885254,13.666494369506836,18.149389266967773
2007-07-06,4.051051139831543,6.144495487213135,16.075397491455078,13.677043914794922,18.173969268798828
2007-07-09,3.9907288551330566,6.124261856079102,16.257780075073242,13.65593433380127,18.097986221313477
2007-07-10,4.052582263946533,6.13100528717041,16.264291763305664,13.497638702392578,17.655485153198242
2007-07-11,4.05380392074585,6.0028533935546875,16.00374984741211,13.429040908813477,17.794044494628906
2007-07-12,4.105248928070068,6.043323040008545,16.93518829345703,13.708706855773926,18.093515396118164
2007-07-13,4.217318534851074,6.050068378448486,16.9156436920166,13.671767234802246,18.05776023864746
